term;uuid;concept;type;term_uuid;term_misspelled;version
pedaoger;a9302de0-d484-50a8-9cb8-65d7d2cde308;Pedagog;YRKE;97f6e368-f2df-51d8-9833-68f4b2d0f184;True;NARVALONTOLOGI-2.0.0.157
pedagoer;a9302de0-d484-50a8-9cb8-65d7d2cde308;Pedagog;YRKE;01d78719-5b77-5b75-9e03-61b2aae55243;True;NARVALONTOLOGI-2.0.0.157
pedagogoer;a9302de0-d484-50a8-9cb8-65d7d2cde308;Pedagog;YRKE;1fc98c1b-2094-591e-a424-d160e0e452ed;True;NARVALONTOLOGI-2.0.0.157
pedagogiste;30b2bd2a-0228-55ce-b734-16e628c4c0fc;Pedagogista;YRKE;d135fbc8-a7f5-55c2-b322-d1070bd61460;True;NARVALONTOLOGI-2.0.0.157
pedikurist;2652ab7d-432f-5c7c-9c21-28abddd2f1f4;Pedikyrist;YRKE;61da4bd9-e635-5d2c-b3aa-fdce42df3bae;True;NARVALONTOLOGI-2.0.0.157
pensionatvärd;fdc9042c-3d1a-535e-ba63-c5fab727b3c3;Pensionatsvärd;YRKE;903a0927-ee3e-5df8-9a62-7cbe32898f24;True;NARVALONTOLOGI-2.0.0.157
personaladminstratör;93e64226-fba5-5480-8a02-714b96a1dc50;Personaladministratör;YRKE;7499e3cd-1635-5302-915e-4b31067fd097;True;NARVALONTOLOGI-2.0.0.157
personalansvarige;17799d08-53c5-52af-9ac3-769585891a29;Personalansvarig;YRKE;3f5ceba2-7dad-5503-b54b-ab95453534bd;True;NARVALONTOLOGI-2.0.0.157
personbilförare;ff03d568-b183-5ce2-a406-4c1089a0992a;Personbilsförare;YRKE;ec582616-ad54-548b-9b8d-93903a50f256;True;NARVALONTOLOGI-2.0.0.157
personbilmekaniker;5f97d6ff-112b-5a0d-9482-076a563312b0;Personbilsmekaniker;YRKE;9c2d5299-b47b-587e-936f-c0dfc2c51ddf;True;NARVALONTOLOGI-2.0.0.157
personbilsäljare;7aa4de7c-4c3e-5eb4-a0e2-0fcf8b1389ad;Personbilssäljare;YRKE;40549d97-1355-5890-be96-7445be24d34d;True;NARVALONTOLOGI-2.0.0.157
personligassitent;1f66f26a-5064-5f81-a251-2ea2d1790ec2;Personlig assistent;YRKE;95a4628a-25a7-5f53-89af-df3e74818327;True;NARVALONTOLOGI-2.0.0.157
pistmaskinförare;a0b55255-e912-5371-a11e-d531090225e1;Pistmaskinsförare;YRKE;9c7563ec-75b7-5203-8d74-668fdef782d9;True;NARVALONTOLOGI-2.0.0.157
pizzabagre;aad75c6d-55bb-538f-8228-dfefa9276183;Pizzabagare;YRKE;f0d85c21-f813-5b4b-9631-aa0332e0bf51;True;NARVALONTOLOGI-2.0.0.157
pizzabargare;aad75c6d-55bb-538f-8228-dfefa9276183;Pizzabagare;YRKE;2ba92951-77fa-5e68-9f16-41d4b90da447;True;NARVALONTOLOGI-2.0.0.157
pizzabakare;aad75c6d-55bb-538f-8228-dfefa9276183;Pizzabagare;YRKE;02b0de53-1e97-5929-ac8a-b5ffd66a2d5d;True;NARVALONTOLOGI-2.0.0.157
pizzabager;aad75c6d-55bb-538f-8228-dfefa9276183;Pizzabagare;YRKE;278e86c1-ab18-5a4f-a430-d9f356730de8;True;NARVALONTOLOGI-2.0.0.157
pizzabare;aad75c6d-55bb-538f-8228-dfefa9276183;Pizzabagare;YRKE;725960a0-4abc-5262-bfe6-35afacf05534;True;NARVALONTOLOGI-2.0.0.157
pizzabgare;aad75c6d-55bb-538f-8228-dfefa9276183;Pizzabagare;YRKE;4d6c0ab1-1dee-536d-ba20-036e8c032c33;True;NARVALONTOLOGI-2.0.0.157
pzzabagare;aad75c6d-55bb-538f-8228-dfefa9276183;Pizzabagare;YRKE;e5312da3-5d0c-55f9-beb3-b53963a38af6;True;NARVALONTOLOGI-2.0.0.157
pizzabagere;aad75c6d-55bb-538f-8228-dfefa9276183;Pizzabagare;YRKE;4fccec22-ebe3-5dd8-b5b1-3b626b00cef7;True;NARVALONTOLOGI-2.0.0.157
pizabagare;aad75c6d-55bb-538f-8228-dfefa9276183;Pizzabagare;YRKE;b9fdaca1-038f-53a8-b94b-a4032542c820;True;NARVALONTOLOGI-2.0.0.157
pizzagare;aad75c6d-55bb-538f-8228-dfefa9276183;Pizzabagare;YRKE;1136386b-8e95-5dd1-b746-d257bed08c1c;True;NARVALONTOLOGI-2.0.0.157
pizzabagar;aad75c6d-55bb-538f-8228-dfefa9276183;Pizzabagare;YRKE;287112dd-a2b9-5ce8-88de-3064df74c297;True;NARVALONTOLOGI-2.0.0.157
pizzabaggare;aad75c6d-55bb-538f-8228-dfefa9276183;Pizzabagare;YRKE;da642b0c-fe04-5970-a064-33ba4097ef55;True;NARVALONTOLOGI-2.0.0.157
pizzbagare;aad75c6d-55bb-538f-8228-dfefa9276183;Pizzabagare;YRKE;c05cecf9-0966-5a46-a8ff-9e99bee00a99;True;NARVALONTOLOGI-2.0.0.157
platsättare;a50824c4-b479-5fcf-a403-d0f5beca5c38;Plantsättare;YRKE;97bb6d7c-cd61-5f86-afd6-9dfb39246acb;True;NARVALONTOLOGI-2.0.0.157
platchef;532dd5b3-edae-5c40-afb7-49d3a0df93d5;Platschef;YRKE;fe53a8d8-5f10-5cec-9c46-6ede0b8b4491;True;NARVALONTOLOGI-2.0.0.157
plastssamordnare;59b055fc-2e24-5225-af3b-edfb51129716;Platssamordnare;YRKE;502742e3-c99d-5af8-956b-780a3db547f2;True;NARVALONTOLOGI-2.0.0.157
plattsätare;caccb1fe-4e17-5dee-9c02-1c8deef9f919;Platssättare;YRKE;a6b1a656-2fdf-56e4-877e-1b83d1194656;True;NARVALONTOLOGI-2.0.0.157
postdoktorstjänst;431af005-0ddb-557c-ba4d-3f19f57e09d1;Postdoktortjänst;YRKE;e09e0f10-12b1-59b6-8c2d-cd633da435ce;True;NARVALONTOLOGI-2.0.0.157
